rfc_id,rfc_page,rfc_contacted,rfc_expired,rfc_timestamp
0001A53,Rolfing,0,1,0
0005537,Talk:Football Lads Alliance,0,1,1528387800
0009C55,Wikipedia:Requests for comment/Unsorted,0,1,1456378260
0009EC8,Wikipedia:Requests for comment/Unsorted,0,1,0
00146D0,Talk:Thalochi dialect,0,1,1476529920
00173C1,Wikipedia talk:Interviews,0,1,1539912840
0019426,Wikipedia:Requests for comment/Unsorted,0,1,
001964B,Talk:Florida Parental Rights in Education Act,0,1,1680440100
001A5DE,Talk:Sexism,0,1,
0024D71,Talk:Donald Sterling,0,1,1399301520
002A39A,Wikipedia talk:WikiProject Actors and Filmmakers,0,1,1722477060
002AC2A,Wikipedia:Reliable sources/Noticeboard,0,1,1668341340
002B742,Wikipedia talk:Manual of Style/Layout,0,1,1590246960
002B7FA,Wikipedia talk:Naming conventions (royalty and nobility),0,1,1714916880
002C04F,Talk:2017,0,1,0
002FF78,Talk:Masturbation,0,1,1484015700
00327E8,Wikipedia talk:WikiProject Weather,0,1,1653824700
0036776,Talk:Alec Baldwin,0,1,1676134860
003768F,Talk:Hamas,0,1,1702879620
00377B9,Talk:Italian Social Movement,0,1,1653765600
003BD1D,Talk:Robert Mueller,0,1,
00423D6,Talk:Political correctness,0,1,1445515500
00474C5,Talk:Mary Lou McDonald,0,1,1467466740
0049C78,Talk:European Service Module,0,1,1578741360
0049E45,Wikipedia:New pages patrol/RfC on patrolling without user right,0,1,1479816840
004B012,Talk:Norepinephrine,0,1,1477971060
004D0EA,Talk:Roman numerals,0,1,1595711880
004E496,File talk:Einstein and Locker-Lampson.jpeg,0,1,1496367780
00595FF,Template:Rfc,0,1,0
0061B12,Talk:Rand Paul,0,1,1383427200
00638B2,Talk:Precipitationshed,0,1,
0068D2C,Wikipedia talk:Manual of Style/Words to watch,0,1,1444366260
00692D8,Talk:Neverball,0,1,1601565420
0073271,Talk:Israel,0,1,1533675900
007A3C7,Talk:Nipsey Hussle,0,1,1633148460
0080596,Wikipedia talk:WikiProject Tropical cyclones,0,1,
0081DCA,Talk:Anthony Watts (blogger),0,1,1434502740
00900C3,Talk:Indira Gandhi,0,1,1632249660
009209B,Talk:Car,0,1,1494007440
0092AD6,Wikipedia talk:WikiProject Physics,0,1,1719671940
0095F83,Talk:Vladimir Lenin,0,1,
009D4C3,Wikipedia:Reliable sources/Noticeboard,0,1,1708384800
009EBB4,Category talk:Criticism of political correctness,0,1,1626656340
00A01DB,Talk:Camel toe,0,1,1669799220
00A4A8F,Talk:Michael Portillo,0,1,1650563760
00A86CA,Talk:List of Christian denominations,0,1,
00ABE6C,Wikipedia talk:Manual of Style/Film,0,1,1531552080
00B05AB,Wikipedia:WikiProject Weather/New Weather Infobox,0,1,1676493720
00B65F3,Talk:William Riker,0,1,1654203480
00B69DD,Talk:2014 kidnapping and murder of Israeli teenagers,0,1,1427963520
00C2BF3,Talk:Trypophobia,0,1,1532114160
00C3038,Wikipedia:Village pump (policy),0,0,1767083340
00C458F,Talk:New York,0,1,1472379300
00D24E6,Talk:Southern Front of the Free Syrian Army,0,1,1467289140
00D522D,Talk:Frank Ocean,0,1,1634812980
